steps,avg_reward,collision_rate,episode_length
100,12.531867298578197,1.0,14.0
200,12.531867298578197,1.0,14.0
300,12.531867298578197,1.0,14.0
400,12.531867298578197,1.0,14.0
500,12.531867298578197,1.0,14.0
600,13.34786729858038,1.0,15.0
700,12.531867298578197,1.0,14.0
800,33.1321327014218,0.0,40.0
900,19.107867299675455,1.0,22.0
1000,27.27999999999999,1.0,32.0
1100,27.27999999999999,1.0,32.0
1200,23.987898599104454,1.0,28.0
1300,10.278101640686593,1.0,13.0
1400,32.57213270142181,0.0,40.0
1500,23.199999999999992,1.0,27.0
1600,34.10489744631899,0.0,40.0
1700,34.05136119156047,0.0,40.0
1800,4.827584591640057,1.0,6.0
1900,32.09213270142182,0.0,40.0
2000,27.27999999999999,1.0,32.0
2100,15.811867298267662,1.0,18.0
2200,32.9321327014218,0.0,40.0
2300,28.503871953220465,1.0,35.0
2400,33.29213270142143,0.0,40.0
2500,35.39881871387746,0.0,40.0
2600,23.199999999999992,1.0,27.0
2700,33.944361091706384,0.0,40.0
2800,32.01213270142181,0.0,40.0
2900,33.97095886537151,0.0,40.0
3000,32.33213270142181,0.0,40.0
3100,27.27999999999999,1.0,32.0
3200,32.01213270142181,0.0,40.0
3300,32.172132701421816,0.0,40.0
3400,32.01213270142181,0.0,40.0
3500,32.61213270142181,0.0,40.0
3600,32.69213270142181,0.0,40.0
3700,32.01213270142181,0.0,40.0
3800,32.01213270142181,0.0,40.0
3900,32.652132701421806,0.0,40.0
4000,26.196278078238972,1.0,32.0
4100,32.172132701421816,0.0,40.0
4200,32.01213270142181,0.0,40.0
4300,33.73189877803686,0.0,40.0
4400,33.29212953312608,0.0,40.0
4500,33.2921295331261,0.0,40.0
4600,32.01213270142181,0.0,40.0
4700,32.01213270142181,0.0,40.0
4800,32.01213270142181,0.0,40.0
4900,32.172132701421816,0.0,40.0
5000,32.09213270142182,0.0,40.0
5100,26.398826144359372,1.0,30.0
5200,4.814251258306724,1.0,6.0
5300,6.465858167359275,1.0,8.0
5400,32.01213270142181,0.0,40.0
5500,32.09213270142182,0.0,40.0
5600,32.09213270142182,0.0,40.0
5700,4.907296297462497,1.0,6.0
5800,32.81213270142181,0.0,40.0
5900,33.41212905288003,0.0,40.0
6000,32.01213270142181,0.0,40.0
6100,32.01213270142181,0.0,40.0
6200,27.27999999999999,1.0,32.0
6300,32.01213270142181,0.0,40.0
6400,32.652132701421806,0.0,40.0
6500,32.01213270142181,0.0,40.0
6600,32.01213270142181,0.0,40.0
6700,27.27999999999999,1.0,32.0
6800,32.09213270142182,0.0,40.0
6900,34.03820563106423,0.0,40.0
7000,13.065465971479435,1.0,16.0
7100,32.09213270142182,0.0,40.0
7200,4.814251258306724,1.0,6.0
7300,4.814251258306724,1.0,6.0
7400,32.09213270142182,0.0,40.0
7500,27.27999999999999,1.0,32.0
7600,32.01213270142181,0.0,40.0
7700,32.492129108028124,0.0,40.0
7800,18.946628658018405,1.0,23.0
7900,32.58528126650879,0.0,40.0
8000,32.23879577467578,0.0,40.0
8100,32.01213270142181,0.0,40.0
8200,6.665091458733243,1.0,9.0
8300,32.172132701421816,0.0,40.0
8400,33.42492617754821,0.0,40.0
8500,12.531867298578197,1.0,14.0
8600,9.663494220817324,1.0,12.0
8700,32.27877323049038,0.0,40.0
8800,32.492129108028124,0.0,40.0
8900,32.3054399054892,0.0,40.0
9000,32.798425272547384,0.0,40.0
9100,32.798425272547384,0.0,40.0
9200,32.318263157341406,0.0,40.0
9300,32.61159289841384,0.0,40.0
9400,33.0521327014218,0.0,40.0
9500,35.530958845780845,0.0,40.0
9600,8.35824050350693,1.0,11.0
9700,32.75842527254738,0.0,40.0
9800,32.81175860588072,0.0,40.0
9900,32.798425272547384,0.0,40.0
10000,32.01213270142181,0.0,40.0
10100,33.158799368085965,0.0,40.0
10200,32.31879935975858,0.0,40.0
10300,32.01213270142181,0.0,40.0
10400,35.01136064780931,0.0,40.0
10500,28.651758605880705,1.0,36.0
10600,33.53103672141498,0.0,40.0
10700,32.798425272547384,0.0,40.0
10800,32.01213270142181,0.0,40.0
10900,32.01213270142181,0.0,40.0
11000,32.824929816775445,0.0,40.0
11100,32.01213270142181,0.0,40.0
11200,32.50543990548918,0.0,40.0
11300,32.01213270142181,0.0,40.0
11400,32.50543990548918,0.0,40.0
11500,32.41159649177201,0.0,40.0
11600,32.62492981677327,0.0,40.0
11700,32.53159649177198,0.0,40.0
11800,33.024907170318095,0.0,40.0
11900,32.62509193921402,0.0,40.0
12000,33.092132701419295,0.0,40.0
12100,33.02490368794351,0.0,40.0
12200,32.01213270142181,0.0,40.0
12300,32.492129108028124,0.0,40.0
12400,32.01213270142181,0.0,40.0
12500,32.74509187605432,0.0,40.0
12600,32.745064233332805,0.0,40.0
12700,32.51861459984212,0.0,40.0
12800,32.53159649177198,0.0,40.0
12900,32.86490368794348,0.0,40.0
13000,27.27999999999999,1.0,32.0
13100,32.01213270142181,0.0,40.0
13200,32.50543990548918,0.0,40.0
13300,32.25212905277076,0.0,40.0
13400,32.078799368088475,0.0,40.0
13500,32.06546603475515,0.0,40.0
13600,27.27999999999999,1.0,32.0
13700,33.27823551390157,0.0,40.0
13800,32.61210657215587,0.0,40.0
13900,32.01213270142181,0.0,40.0
14000,32.63879577469481,0.0,40.0
14100,32.01213270142181,0.0,40.0
14200,27.27999999999999,1.0,32.0
14300,32.01213270142181,0.0,40.0
14400,27.27999999999999,1.0,32.0
14500,32.492129108028095,0.0,40.0
14600,32.27879936808843,0.0,40.0
14700,32.35879936808847,0.0,40.0
14800,32.305466034755135,0.0,40.0
14900,32.78490212633338,0.0,40.0
15000,32.518799368088466,0.0,40.0
15100,33.25159649175297,0.0,40.0
15200,32.49213270142176,0.0,40.0
15300,32.651568793000045,0.0,40.0
15400,33.13194792484559,0.0,40.0
15500,32.70528125817675,0.0,40.0
15600,33.39861095934053,0.0,40.0
15700,32.42546238621775,0.0,40.0
15800,32.01213270142181,0.0,40.0
15900,32.67805486912433,0.0,40.0
16000,32.118799368088474,0.0,40.0
16100,20.70807769816634,1.0,24.0
16200,32.118799368088474,0.0,40.0
16300,32.46546603475514,0.0,40.0
16400,33.038614591512264,0.0,40.0
16500,32.53213222094101,0.0,40.0
16600,32.50546603461064,0.0,40.0
16700,33.47823695814836,0.0,40.0
16800,32.665255635150466,0.0,40.0
16900,33.371568847234904,0.0,40.0
17000,33.624370054748304,0.0,40.0
17100,32.13213270142181,0.0,40.0
17200,33.53138949983164,0.0,40.0
17300,33.42525647903582,0.0,40.0
17400,33.27858896859356,0.0,40.0
17500,32.172132701421816,0.0,40.0
17600,32.785465554274346,0.0,40.0
17700,33.47858981236916,0.0,40.0
17800,32.1321327014218,0.0,40.0
17900,32.01213270142181,0.0,40.0
18000,33.251389436593705,0.0,40.0
18100,32.90543989715705,0.0,40.0
18200,32.98525563515047,0.0,40.0
18300,32.49213270142181,0.0,40.0
18400,32.01213270142181,0.0,40.0
18500,32.89212910802816,0.0,40.0
18600,32.172132701421816,0.0,40.0
18700,33.53138949983164,0.0,40.0
18800,33.22527768107066,0.0,40.0
